Ref,Val,Package,PosX,PosY,Rot,Side
"5-Ohm1","5 Ohm","Relay_DPDT_Omron_G6K-2F-Y",82.042000,-79.248000,180.000000,top
"5R1","LED","LED_1210_3225Metric",144.904000,-83.820000,0.000000,top
"10-Ohm1","10 Ohm","Relay_DPDT_Omron_G6K-2F-Y",96.181000,-79.248000,180.000000,top
"10R1","LED","LED_1210_3225Metric",144.904000,-89.154000,0.000000,top
"20-Ohm1","20 Ohm","Relay_DPDT_Omron_G6K-2F-Y",109.530000,-79.238000,180.000000,top
"20R1","LED","LED_1210_3225Metric",144.780000,-94.488000,0.000000,top
"40-Ohm1","40 Ohm","Relay_DPDT_Omron_G6K-2F-Y",122.626000,-79.238000,180.000000,top
"40R1","LED","LED_1210_3225Metric",144.910000,-99.822000,0.000000,top
"80-Ohm1","80 Ohm","Relay_DPDT_Omron_G6K-2F-Y",135.326000,-79.258000,180.000000,top
"80R1","LED","LED_1210_3225Metric",144.904000,-105.156000,0.000000,top
"160-Ohm1","160 Ohm","Relay_DPDT_Omron_G6K-2F-Y",135.438000,-120.996000,0.000000,top
"160R1","LED","LED_1210_3225Metric",144.904000,-110.490000,0.000000,top
"320-Ohm1","320 Ohm","Relay_DPDT_Omron_G6K-2F-Y",122.682000,-120.904000,0.000000,top
"320R1","LED","LED_1210_3225Metric",144.904000,-115.824000,0.000000,top
"640-Ohm1","640 Ohm","Relay_DPDT_Omron_G6K-2F-Y",109.530000,-120.894000,0.000000,top
"640R1","LED","LED_1210_3225Metric",144.650000,-121.158000,0.000000,top
"1200-Ohm1","1200 Ohm","Relay_DPDT_Omron_G6K-2F-Y",96.322000,-120.894000,0.000000,top
"1280R1","LED","LED_1210_3225Metric",144.650000,-126.492000,0.000000,top
"C7","100n","R_1210_3225Metric",102.170000,-140.335000,180.000000,top
"C8","100n","R_1210_3225Metric",95.438500,-148.717000,180.000000,top
"C15","10n","R_1210_3225Metric",114.935000,-94.742000,180.000000,top
"C16","100n","R_1210_3225Metric",89.027000,-88.838500,270.000000,top
"CC/RF1","CC-RF","Relay_DPDT_Omron_G6K-2F-Y",81.026000,-117.094000,180.000000,top
"D5","SD12","D_1812_4532Metric",128.016000,-138.724000,270.000000,top
"D6","SD12","D_1812_4532Metric",133.529000,-138.724000,270.000000,top
"D7","LED_Dual_CACA","LED_SK6812_EC15_1.5x1.5mm",145.034000,-143.764000,90.000000,top
"D8","1N4148","D_1206_3216Metric",87.376000,-135.382000,180.000000,top
"D9","1N4148","D_1206_3216Metric",82.293000,-139.827000,180.000000,top
"D10","1N4148","D_1206_3216Metric",98.171000,-135.382000,180.000000,top
"D11","1N4148","D_1206_3216Metric",93.094000,-139.827000,180.000000,top
"D13","1N4148","D_1206_3216Metric",92.840000,-93.472000,180.000000,top
"D14","1N4148","D_1206_3216Metric",103.254000,-93.472000,180.000000,top
"Load-RFIn1","Load/RFin","SMA_Molex_73251-2120_EdgeMount_Horizontal",63.246000,-94.488000,180.000000,top
"Load/WB1","5 Ohm","Relay_DPDT_Omron_G6K-2F-Y",81.026000,-104.658000,180.000000,top
"Load/WB2","LED","LED_1210_3225Metric",144.780000,-76.962000,0.000000,top
"R1","10","R_2512_6332Metric",81.956500,-95.504000,180.000000,top
"R2","10","R_2512_6332Metric",81.956500,-90.424000,180.000000,top
"R3","1000","R_2512_6332Metric",71.374000,-114.894000,270.000000,top
"R4","1000","R_2512_6332Metric",71.374000,-105.496000,270.000000,top
"R5","10","R_2512_6332Metric",95.843500,-88.519000,180.000000,top
"R6","330","R_2512_6332Metric",135.128000,-106.299000,0.000000,top
"R7","330","R_2512_6332Metric",135.255000,-110.871000,0.000000,top
"R8","10","R_2512_6332Metric",104.775000,-88.519000,180.000000,top
"R9","100","R_2512_6332Metric",120.650000,-109.134000,270.000000,top
"R10","10","R_2512_6332Metric",114.173000,-88.519000,0.000000,top
"R11","330","R_2512_6332Metric",102.997000,-105.664000,180.000000,top
"R12","10","R_2512_6332Metric",120.650000,-90.338500,90.000000,top
"R13","100","R_2512_6332Metric",103.038000,-110.998000,0.000000,top
"R14","120","R_2512_6332Metric",138.303000,-95.037500,90.000000,top
"R15","120","R_2512_6332Metric",135.296000,-88.519000,180.000000,top
"R16","4700","R_2512_6332Metric",93.513500,-110.998000,0.000000,top
"R17","1000","R_2512_6332Metric",103.038000,-100.330000,0.000000,top
"R18","4700","R_2512_6332Metric",135.128000,-101.727000,0.000000,top
"R35","10","R_2512_6332Metric",120.650000,-98.891500,90.000000,top
"R36","10","R_2512_6332Metric",126.492000,-98.806000,270.000000,top
"R37","10","R_2512_6332Metric",126.492000,-90.338500,90.000000,top
"R38","120","R_2512_6332Metric",132.588000,-94.910500,90.000000,top
"R39","220","R_2512_6332Metric",126.492000,-109.093000,270.000000,top
"R40","220","R_2512_6332Metric",112.903000,-105.664000,0.000000,top
"R41","4700","R_2512_6332Metric",112.944000,-110.998000,0.000000,top
"R42","330","R_2512_6332Metric",93.557500,-105.664000,180.000000,top
"R43","4700","R_2512_6332Metric",93.513500,-100.330000,0.000000,top
"R45","100K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",83.693000,-130.683000,270.000000,top
"R46","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",107.061000,-149.580000,270.000000,top
"R47","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",89.636000,-144.145000,180.000000,top
"R48","100K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",78.486000,-132.868000,270.000000,top
"R49","220K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",102.235000,-144.653000,180.000000,top
"R50","100K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",112.141000,-140.970000,0.000000,top
"R51","100K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",112.040000,-146.177000,0.000000,top
"R52","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",112.167000,-137.414000,0.000000,top
"R53","220K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",95.478000,-144.145000,180.000000,top
"R54","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",112.040000,-149.733000,0.000000,top
"R55","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",118.517000,-149.733000,180.000000,top
"R56","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",123.063000,-138.710000,270.000000,top
"R57","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",118.618000,-137.414000,180.000000,top
"R58","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.430000,-138.811000,90.000000,top
"R62","100K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",88.646000,-77.623000,270.000000,top
"R64","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",110.744000,-99.923000,90.000000,top
"R65","220K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",88.646000,-83.286000,90.000000,top
"Rx-Zx1","LED","LED_1210_3225Metric",144.656000,-133.604000,0.000000,top
"Rx-Zx2","LED","LED_1210_3225Metric",108.810600,-154.889200,180.000000,top
"Rx<Rref1","LED","LED_1210_3225Metric",144.588000,-147.574000,0.000000,top
"Rx>Rref1","LED","LED_1210_3225Metric",144.532000,-139.762000,0.000000,top
"U1","OPA356","SOT-23-5",102.151000,-149.352000,180.000000,top
"U6","TL072","SOP-8_3.9x4.9mm_P1.27mm",118.491000,-143.595000,270.000000,top
"U7","OPA356","SOT-23-5",89.408000,-148.910000,180.000000,top
"U8","TL072","SOP-8_3.9x4.9mm_P1.27mm",135.890000,-146.558000,180.000000,top
"U10","OPA356","SOT-23-5",115.400000,-99.756000,0.000000,top
"Zx2","Zx","SMA_Molex_73251-2120_EdgeMount_Horizontal",63.246000,-135.382000,180.000000,top
